Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2023-05-04 08:00:00+00:00,15239,8982,4973,79,4872,1284,0,0.0,560.0,3,5,8
2023-05-04 09:00:00+00:00,14206,7667,5933,75,7103,606,0,0.0,490.0,3,5,9
2023-05-04 10:00:00+00:00,14026,7185,6118,92,7743,722,0,0.0,427.0,3,5,10
2023-05-04 11:00:00+00:00,14281,6513,6137,120,7815,1632,0,0.0,385.0,3,5,11
2023-05-04 12:00:00+00:00,13656,7381,6270,174,8007,5,0,0.0,370.0,3,5,12
2023-05-04 13:00:00+00:00,13949,7497,6200,235,7717,252,0,0.0,364.22,3,5,13
2023-05-04 14:00:00+00:00,14075,7094,6220,338,7497,761,0,0.0,377.0,3,5,14
2023-05-04 15:00:00+00:00,14266,6744,5741,381,6261,1782,0,0.0,405.79,3,5,15
2023-05-04 16:00:00+00:00,14338,8029,5104,409,4554,1204,0,0.0,448.89,3,5,16
2023-05-04 17:00:00+00:00,15333,9013,4467,519,2799,1853,0,0.0,520.0,3,5,17
2023-05-04 18:00:00+00:00,16704,10684,3914,571,1093,2106,0,0.0,589.45,3,5,18
2023-05-04 19:00:00+00:00,17504,12168,3765,813,180,1572,0,0.0,620.0,3,5,19
2023-05-04 20:00:00+00:00,18548,13091,4000,1154,1,1457,0,0.0,670.0,3,5,20
2023-05-04 21:00:00+00:00,17894,11912,4283,1426,0,1700,0,0.0,589.55,3,5,21
2023-05-04 22:00:00+00:00,16380,10031,4531,1770,0,1818,0,0.0,550.0,3,5,22
2023-05-04 23:00:00+00:00,14860,8645,4754,1992,0,1461,0,0.0,495.0,3,5,23
2023-05-05 00:00:00+00:00,13693,7486,5119,2427,0,1088,0,0.0,520.0,4,5,0
2023-05-05 01:00:00+00:00,13108,7528,5155,2466,0,425,0,0.0,520.0,4,5,1
2023-05-05 02:00:00+00:00,13250,8007,5243,2557,0,0,0,0.0,520.0,4,5,2
2023-05-05 03:00:00+00:00,13254,7560,5443,2762,0,251,0,0.0,514.0,4,5,3
2023-05-05 04:00:00+00:00,13181,7402,5525,2842,0,254,0,0.0,520.0,4,5,4
2023-05-05 05:00:00+00:00,13368,7092,5543,2785,53,733,0,0.0,514.0,4,5,5
2023-05-05 06:00:00+00:00,15119,8464,5619,2626,599,1036,0,0.0,545.75,4,5,6
2023-05-05 07:00:00+00:00,16228,8659,6332,2727,1985,1237,0,0.0,545.75,4,5,7
2023-05-05 08:00:00+00:00,15334,7068,7127,2789,3722,1139,0,0.0,525.0,4,5,8
2023-05-05 09:00:00+00:00,14416,6618,7779,2754,5379,19,0,0.0,449.0,4,5,9
2023-05-05 10:00:00+00:00,14277,6788,8155,2701,6450,-666,0,0.0,397.0,4,5,10
2023-05-05 11:00:00+00:00,14895,6995,8371,2754,6861,-471,0,0.0,375.0,4,5,11
2023-05-05 12:00:00+00:00,14515,6292,8642,2743,7502,-420,0,0.0,359.99,4,5,12
2023-05-05 13:00:00+00:00,14539,6402,8538,2778,7220,-401,0,0.0,356.86,4,5,13
2023-05-05 14:00:00+00:00,14726,6482,8457,2924,6712,-214,0,0.0,350.0,4,5,14
2023-05-05 15:00:00+00:00,14709,6633,8359,3077,6104,-283,0,0.0,353.83,4,5,15
2023-05-05 16:00:00+00:00,14759,6275,7960,3288,4670,524,0,0.0,405.0,4,5,16
2023-05-05 17:00:00+00:00,15494,7184,7664,3626,3186,646,0,0.0,463.18,4,5,17
2023-05-05 18:00:00+00:00,16524,8024,7404,4003,1405,1096,0,0.0,545.75,4,5,18
